127.0.0.1 - - [29/Dec/2016:22:59:40 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:52 -0200] "GET /financeiro/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf;jsessionid=955695C31B7D63DF38264BBE29006997?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf;jsessionid=955695C31B7D63DF38264BBE29006997?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:53 -0200] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:56 -0200] "POST /financeiro/index.jsf;jsessionid=955695C31B7D63DF38264BBE29006997 HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:56 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:56 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:56 -0200] "GET /financeiro/javax.faces.resource/logotipo_m.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:22:59:56 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
