127.0.0.1 - - [03/Jan/2017:00:03:54 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:09 -0200] "GET /financeiro/ HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf;jsessionid=DF7266354F744922F7AC73EC0574D7B1?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf;jsessionid=DF7266354F744922F7AC73EC0574D7B1?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:10 -0200] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/restrito/principal.jsf;jsessionid=DF7266354F744922F7AC73EC0574D7B1?faces-redirect=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/publico/login.jsf HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:13 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:21 -0200] "POST /financeiro/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:23 -0200] "GET /financeiro/restrito/principal.jsf HTTP/1.1" 200 7102
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:23 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:23 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:23 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
